		Li	Ow	Li	Hw	Li	C00	Li	C01	Li	O02	Li	C03	Li	O04	Li	O05	Li	C06	Li	H07	Li	CBT	Li	F1	Li	SBT	Li	NBT	Li	OBT
84	5.01	0.472769	1.48824	0.657681	3.2424	0.862528	0.40156	0.813048	0.75938	0.384763	0.832142	0.78622	0.832454	0.311762	0.733118	0.522954	0.863261	0.798478	0.840802	0.673574	0.385557	1.18149	3.95497	1.42905	9.01791	1.28359	3.97993	0.335619	2.63568	0.555598	7.71683
85	5.07	0.488545	1.51381	0.684505	3.31405	0.918492	0.429322	0.812272	0.783931	0.391233	0.843967	0.761058	0.855458	0.333077	0.743185	0.527838	0.879215	0.797857	0.864917	0.684527	0.406247	1.12046	4.0651	1.35933	9.41875	1.32611	4.11027	0.318965	2.65136	0.554835	7.8259
86	5.13	0.508068	1.54104	0.712869	3.39046	0.989368	0.459938	0.810508	0.809012	0.401158	0.856381	0.720074	0.877741	0.354528	0.754156	0.537391	0.895844	0.79416	0.889493	0.695976	0.427784	1.07732	4.17352	1.30644	9.81317	1.35795	4.24693	0.319887	2.66746	0.562179	7.93905
87	5.19	0.527729	1.56999	0.742681	3.47193	1.07473	0.493978	0.800689	0.834373	0.413132	0.869466	0.669255	0.898938	0.37404	0.766003	0.547251	0.913178	0.790289	0.914524	0.711143	0.450309	1.04634	4.28129	1.27599	10.2075	1.37287	4.38834	0.330109	2.68446	0.574554	8.05742
88	5.25	0.549424	1.60082	0.771983	3.55858	1.16901	0.531865	0.794881	0.860135	0.427834	0.883332	0.615394	0.918883	0.392742	0.778732	0.557957	0.931261	0.782409	0.939882	0.732253	0.474041	1.02271	4.38909	1.27134	10.6094	1.37617	4.53339	0.346376	2.70271	0.592899	8.1824
89	5.31	0.572927	1.63372	0.801276	3.65059	1.26531	0.573817	0.788053	0.886262	0.442877	0.898015	0.557293	0.93736	0.409016	0.792293	0.569237	0.950134	0.772456	0.965492	0.759384	0.499218	1.00324	4.49726	1.28903	11.0264	1.36956	4.68105	0.366269	2.72246	0.615745	8.31518
90	5.37	0.600436	1.66897	0.827862	3.74781	1.35677	0.619823	0.780947	0.912743	0.45799	0.913545	0.507108	0.954555	0.42469	0.806693	0.577821	0.969727	0.763002	0.991364	0.790915	0.526036	0.98825	4.60623	1.32458	11.4646	1.35689	4.83068	0.385614	2.74372	0.643237	8.45704
91	5.43	0.630136	1.70681	0.852927	3.85023	1.43867	0.669701	0.766028	0.939301	0.474327	0.92999	0.46406	0.970644	0.438815	0.821907	0.586152	0.990049	0.74912	1.01734	0.830222	0.55482	0.975612	4.71623	1.37194	11.9286	1.3434	4.98214	0.404527	2.76652	0.675589	8.60938
92	5.49	0.661784	1.74742	0.873806	3.95749	1.49589	0.722717	0.746564	0.96576	0.4893	0.947331	0.431477	0.985936	0.452107	0.83793	0.592166	1.01104	0.74232	1.04364	0.875988	0.585866	0.967787	4.82777	1.42478	12.4213	1.3301	5.13544	0.424649	2.79099	0.711435	8.77337
93	5.55	0.696338	1.7911	0.888885	4.06899	1.5289	0.778093	0.723116	0.991951	0.503116	0.965554	0.40942	1.00077	0.464794	0.854765	0.596654	1.03265	0.738073	1.07038	0.927698	0.619467	0.959751	4.94082	1.47874	12.9438	1.31832	5.29072	0.442138	2.81703	0.751337	8.95037
94	5.61	0.731632	1.83798	0.89946	4.18427	1.52658	0.834587	0.699786	1.01785	0.515994	0.984649	0.396388	1.01543	0.481047	0.872567	0.601413	1.0549	0.740257	1.09777	0.985673	0.655944	0.954529	5.05569	1.52881	13.4958	1.30625	5.44793	0.46246	2.84486	0.794211	9.14153
95	5.67	0.767622	1.88823	0.905568	4.30284	1.48827	0.890847	0.680673	1.04358	0.527861	1.0046	0.389938	1.03017	0.496604	0.89134	0.604556	1.07776	0.744668	1.12592	1.04924	0.695608	0.951375	5.17265	1.56288	14.0722	1.28742	5.6062	0.485178	2.87468	0.837772	9.34751
96	5.73	0.803848	1.94198	0.909465	4.42444	1.41907	0.945634	0.661035	1.0691	0.538047	1.02538	0.387049	1.04512	0.515083	0.911226	0.605874	1.10115	0.748418	1.15482	1.11674	0.738722	0.948349	5.29172	1.5563	14.6584	1.26151	5.76458	0.510485	2.90673	0.880698	9.56866
97	5.79	0.838179	1.99919	0.911759	4.54892	1.32431	0.997838	0.641377	1.09438	0.545294	1.04687	0.390342	1.0605	0.536671	0.932381	0.608121	1.12512	0.754362	1.18455	1.18544	0.785451	0.948891	5.41336	1.48394	15.2291	1.22255	5.92131	0.538024	2.94122	0.918765	9.80422
